Query,Job Title,IT Skills,Soft Skills,Salary,Location,Education,Experience,Description,Seniority,job_id
Network Engineering,JUNIOR NETWORK ENGINEER,"AutoCAD, C, C++, Civil Engineering, Construction, Engineering, Integration, Java, JavaScript, Management, Manufacturing, Matlab, Microsoft Excel, Microsoft Office, MySQL, Project Engineering, Project Management, Project Planning, Software Development, SQL",,"$2,000to$4,000Monthly",2 KAKI BUKIT AVENUE 1 417938,,1 year  exp,knowledge skills abilities hands understanding cisco juniper products including switches routers firewalls solid understanding osi layers sub communications system smaller parts called layers complex environment particularly ability work strong team environment well independently need arises demonstrated expertise analyzing solving complex technical problems install network equipment cables hands network administration experience support production cisco juniper environments preferred proficient microsoft office capability prepare power point briefs visio drawings requirements 2 3 years experience minimum 1 year providing end user support ccna preferred preferred,Junior Executive,JOB-2019-0107855
IT Management,Digital Scholarship (DS) Project Librarian / Manager,"Academic Libraries, Cataloging, Collection Development, Community Outreach, Digital Libraries, Editing, Electronic Resources, Information Literacy, Information Retrieval, Library, Library Instruction, Library Management, Library Reference, Library Research, Library Science, Metadata, Public Speaking, Research, Teaching, Virtual Reference",,"$4,000to$5,000Monthly",21 LOWER KENT RIDGE ROAD 119077,,2 years  exp,duties responsibilities member digital scholarship team project manager oversee coordination completion digital projects nus libraries digital scholarship team oversee aspects digital scholarship project management setting deadlines assigning responsibilities team members tracking progress evaluating success completed projects prepare reports library management status projects serve project team lead projects well especially gis related ones working partnership researchers define scope projects b plan track coordinate activities among library professionals relevant experts towards projects final execution launch provide consultation training researchers students use digital humanities scholarship tools skills e g data visualization etc build basic digital scholarship capacity collaborate library services ensure appropriate hardware software licensing support available projects work team members promote library services facilities events workshops conferences etc keep date trends related digital scholarship research data web publishing educational technology digital humanities communication digital collections workflow design open access policy repositories metadata assessment digital preservation requirementsrequirements qualifications master 's degree library information science bachelor degree geography specialization geographic information systems information systems preferred years experience least 2 3 years managing digital projects providing consultation training digital humanities scholarship tools areas gis text mining etc knowledge skills required familiarity variety digital scholarship research communication concepts practices procedures familiarity state art trends related digital scholarship digital humanities digital preservation digital project management order pre users needs project management skills ability handle multiple priorities projects activities knowledge data analysis visualization web design text mining use apis,Manager,JOB-2019-0066852
Data Analytics & BI,Presales - Consultant BI,"Agile Methodologies, Business Analysis, Business Intelligence, Cloud Computing, Databases, Integration, Java, JavaScript, Linux, Management, Microsoft SQL Server, Oracle, Project Management, Requirements Analysis, SDLC, Software Development, Solution Architecture, SQL, Unix, XML",,"$3,000to$6,000Monthly","TANNERY HOUSE, 37 TANNERY LANE 347790",,5 years  exp,part expansion plans looking presales consultant bi based singapore roles responsibility responsible designing architecting technical solutions using bi tools act knowledgeable trusted advisor clients business analytics capabilities offered identify appropriate implementation deployment options solution provide technical expertise bi help design personalized customer solutions start sales process build confidence solution deliver develop prototypes solutions industry specific customer requirements work closely sales teams use bi insight experience craft winning propositions rfp capability presentations pocs go person sales team bi analytics visualization topic interest customers requirementsrequirements bachelor degree computer science equivalent 5 years experience presales business intelligence business process management business applications like erp crm must subject matter expert extensive bi experience ability communicate technical information non technical staff way easy understand must demonstrate high level functional expertise experience hands qlik product family qlik view qlik sense mandatory experience power bi tableau cognos bi would preferred strong knowledge rdbms concepts strong client relationship engagement skills exceptional presentation demo capabilities excellent written spoken english,Middle Management,JOB-2019-0021632
Software Development,Web Developer,"AJAX, C#, CSS, Git, HTML, HTML 5, Java, JavaScript, jQuery, JSON, Linux, MySQL, Photoshop, PHP, Software Development, SQL, Web Applications, Web Development, WordPress, XML",,"$3,000to$4,500Monthly",not_available,,3 years  exp,design develop house web based applications using c asp net ext net ms sql database ensure technical ui ux design cross browser support develop sharepoint applications perform given tasks full life cycle project front end database testing provide user support technical consulting deliver results milestones time high level quality coding security standards work closely application lead throughout project life cycle requirements least 3 years experience web development using net technology proficient c net framework asp net ext net ajax web services experienced developing front end web applications using html css bootstrap javascript experienced sql server database development sql stored procedure knowledge windows server environment active directory iis knowledge sharepoint 2013 well experience supporting sap systems would preferred ability work independently responsible takes initiative,Junior Executive,JOB-2019-0111107
Engineering & Technical,Project Engineer,"AutoCAD, Civil Engineering, Commissioning, Construction, Construction Management, Continuous Improvement, Contract Management, Energy, Engineering, Engineering Management, Lean Manufacturing, Management, Manufacturing, Mechanical Engineering, Microsoft Office, MS Project, Product Development, Project Engineering, Project Management, Project Planning",,"$2,000to$4,000Monthly","GATEWAY EAST, 152 BEACH ROAD 189721",,1 year  exp,experience security system like cctv card access systems knowledge standard application cabling network concept security system good window server experience project management network system database install configure troubleshooting windows server requirements minimum diploma engineering related field knowledge network cisco router switches firewall understand networking concepts knowledge security systems like cctv card access systems biometrics interested candidates wish apply advertised position please email us updated copy resume email address talenttradergroup com ea license 13c6305 registration id r1333012 candidate applied advertised position deemed consented us may collect use disclosed personal information purpose connection services provided us,Junior Executive,JOB-2019-0111225
Data Engineering,Hadoop / Linux / Vmware Administrator,"Active Directory, Apache, Data Center, Disaster Recovery, DNS, Linux, Microsoft Exchange, MySQL, Network Administration, Networking, Operating Systems, Security, Servers, System Administration, Troubleshooting, Unix, Virtualization, VMware, Windows, Windows Server",,"$3,500to$6,500Monthly",not_available,,4 years  exp,3 7 years total experience extensive experience redhat linux rhel experience vm vmware installation troubleshooting experience high availability storage networking knowledge hadoop administration basic itsm knowledge ensure process followed selected candidate trained hadoop infrastructure administration 7 years total experience extensive experience redhat linux rhel experience vm vmware installation troubleshooting experience high availability storage networking knowledge hadoop administration basic itsm knowledge ensure process followed selected candidate trained hadoop infrastructure administration,Professional,JOB-2019-0055873
Business Analysis,Server Monitoring Analyst (wintel ),"Active Directory, Computer Hardware, IT Service Management, ITIL, Java, Linux, Microsoft Exchange, Microsoft Office, Networking, PHP, Project Management, Servers, SQL, System Administration, Technical Support, Troubleshooting, VMware, Windows, Windows 7, Windows Server",,"$3,000to$3,600Monthly",not_available,,1 year  exp,provide day day operation level 1 5 support global command centre client server administration windows monitor server performance management administration provisioning requirements 2 5 years experience preferably command center environment noc proactive monitoring incident handling experience experience windows technologies microsoft certification mcse mcsa preferred exposed windows server os windows 7 10 customer focus ability multitask strong written verbal communication skills basic knowledge vmware virtualization itil foundation certification desirable ticketing tools experience desirable shift requirements weekly basis 1st shift 7 30am 3 30pm 2nd shift 12 30pm 8 30pm 2 alternate weekend duties sat sun 12 hrs per month,Junior Executive,JOB-2019-0027303
IT Consulting,Senior Application Consultant (mobile),"Business Analysis, Business Intelligence, Business Process, Data Migration, ERP, Financials, Integration, OBIEE, Oracle, Oracle Applications, Oracle Discoverer, Oracle E-Business Suite, Oracle HR, Oracle Reports, PL/SQL, Pre-sales, Requirements Analysis, SQL, Supply Chain Management, Testing",,"$4,000to$7,500Monthly","SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",,5 years  exp,fast growing technology company 20 year history still going strong plans grow 50 2019 focus mobile web applications exciting space digital health already making technological solutions initiatives impacted thousands people lives opportunities grow career path looking talented professionals develop high quality software aligned user needs business goals work upper management define software requirements take lead operational technical projects mobile application development applied research android ios platforms well involving use databases software support maintenance deployed products solutions manage team software engineers including task planning code reviews take charge technical projects provide leadership fast paced environment responsible overall planning execution success complex technical projects work closely project management experience design team deliver project outcomes contribute technically projects mentor best talent bringing best every engineer nurture culture high performance continuous improvement creative problem solving innovation within team candidate requirements experience public sector projects singapore least 5 years total software engineering experience thorough understanding commercial software product development 2 years experience software engineering leadership position managing team expert developer either android ios one platform required working knowledge platform also strong knowledge nodejs react native additional advantage customer oriented skilled developing strong understanding customer needs optimal technology solutions team calibre mindset expected work hard ideally hit ground running following degree computer science equivalent knowledge object oriented programming sql strong experience native mobile features gps push notifications etc strong experience cross platform mobile development tools react native framework mandatory experienced developing unix linux environments enjoy constant learning working new technologies want work projects use web mobile technologies make impact people lives please apply would love hear visit careers page https activate interactive pte ltd workable com,Senior Executive,JOB-2019-0063111
Software Development,Senior Software Engineer,".NET, Agile Methodologies, Algorithms, C, C#, C++, Distributed Systems, Java, JavaScript, Linux, Machine Learning, MySQL, Perl, Programming, Python, Software Design, Software Development, Software Engineering, SQL, XML",,"$4,000to$6,000Monthly","TEXTILE CENTRE, 200 JALAN SULTAN 199018",,5 years  exp,job title senior software engineer job type contract 6 months job location central singapore responsibilities design develop support application releases devops setup using agile methodology set automated build deployment git maven jenkins ci cd pipeline review codes provide quality assurance test automation reported sonarqube security review secure software development life cycle using analysis penetration test findings timely remediation closure provide comprehensive insight technologies data dashboards contribute development product innovation work limited direction within complex environment drive delivery solutions meet service level agreements including incident escalation outside standard working hours requirements bs ms computer science related field 5 years experience designing development supporting web application hands experience java programming scalable distributed multi web services front end web development experience javascript typescript familiarity latest open libraries frameworks like spring angular jquery etc knowledge user authentication authentication standards oauth ws federation experience web application server configuration apache nginx tomcat experience software configuration management automated build test deployment git maven jenkins experience code review automated testing unit integration system levels experience setting continuous integration deployment pipeline experience monitoring support production applications ensure high availability experience network routing configuration firewall dns security certificates setup knowledge experience management virtual containers docker strong focus customer experience excellent problem solving analytical skills strong verbal written communication skills,Middle Management,JOB-2019-0101748
Software Development,SENIOR SOFTWARE ENGINEER,"Agile Methodologies, C#, C++, CSS, Databases, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, PHP, Programming, Python, Software Development, SQL, Web Development, Web Services, XML",,"$3,600to$6,000Monthly",21 UBI ROAD 1 408724,,2 years  exp,responsibilities strong passion writing good maintainable robust code join us part family believes good software design delivering quality well tested solutions help establish trusted partner constantly achieving excellence ideas solutions services senior software engineer opportunity help shape deliver quality solution clients broad responsibilities include joint software design development testing ensuring quality development lifecycle process support operate software operational environment ideal candidate possesses skills allow deliver quality software represents brand within client environment well technical background enables easily pickup adapt new technologies contribute team also demonstrated ability think beyond programming progress lead team project future requirementsrequirements possess least bachelor degree post graduate diploma professional degree computer science information technology engineering computer telecommunication equivalent possess least diploma 2 years relevant experience entry level applicants aptitude learning passion programming also encouraged apply specific requirements required skills java spring html css javascript unit integration tests sql skills spring batch,Senior Executive,JOB-2019-0073785
Software Development,Technical Leader,"Agile Methodologies, AJAX, Cloud Computing, Design Patterns, Hibernate, Java, Java Enterprise Edition, JavaScript, jQuery, Linux, Maven, MySQL, PHP, Scrum, Software Development, Spring, SQL, Subversion, Web Services, XML",,"$5,000to$7,000Monthly","MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",,5 years  exp,responsibilities design b2b e commerce web applications using cutting age technologies work closely product manager understand requirements develop system architecture technical specification documentation participate product implementation testing quality assurance processes leading developer team e commerce solution implementation testing self starter attitude enables work independently lead development team opportunity learn new skills work cutting edge technologies organization several growth opportunities mentor dev team member solution architect committee sac requirements recognized university degree diploma information technology computer science manage information science banking finance equivalent solid understanding development using scrum agile practices strong experience agile development comfortable scrum process experience agile continuous delivery devops tool chain development 5 years experience end end development highly available applications preferably using java technologies frameworks proven ability work well challenging technical environment ability multitask whilst delivering high quality solutions experience system design analysis service oriented architectures soa message orientated middle web services experience following technology skillsets depth knowledge java linux shell nginx mariadb mongodb redis rabbitmq kafka docker golang nodejs excellent knowledge design patterns good experience restful json api good knowledge springboot x worked maven gradle jira bamboo jenkins good experience database rdbms nosql,Senior Executive,JOB-2019-0102242
Software Development,Software Consultant,".NET, Agile Methodologies, C#, C++, Databases, Integration, Java, JavaScript, Linux, Microsoft SQL Server, Requirements Analysis, Scrum, SDLC, Software Development, Software Engineering, Software Project Management, SQL, Web Applications, Web Services, XML",,"$5,800to$8,000Monthly",not_available,,6 years  exp,looking peoplesoft technical consultant 9 years experience peoplesoft oracle database implementation upgrade support depth knowledge peoplesoft internet architecture installing administering various peoplesoft software es creating configuring administering web app batch components working knowledge peoplesoft implementation upgrade support preparing demo system peoplesoft environments installing configuring peoplesoft 9 2 using oracle vm applying application fixes enhancements peoplesoft 9 2 images implementing supporting high availability load balancing solutions peoplesoft web app batch database implementing weblogic clustering latest people tools versions upgrading oracle database 11g 12c applying oracle database patches fixing peoplesoft vulnerability issues reported auditing team planning strategizing different environments upgrade passes initial pass dry run final move upgrade creating configuring managing different sdlc environments namely dev sit uat prod performance tuning web app database os optimum peoplesoft online responses integrating people tools elastic search search function installing configuring change assistant application upgrade updates providing end end infra support peoplesoft 9 2 latest people tools versions installing renewing ssl certificate weblogic iis apache windows unix installing cobol temporary permanent license keys post peoplesoft environment refresh activities like report node server setup ldap ib ses cobol sso smtp date format etc implementing peoplesoft hardening web app batch servers reverse proxy servers namely apache iis peoplesoft architecture peoplesoft database cloning non production instances applying translation peoplesoft environments upgrading peoplesoft applications 9 2 people tools 8 8 8,Senior Executive,JOB-2019-0100554
Software Development,Software Developer,".NET, Agile Methodologies, C, C#, C++, CSS, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, PHP, Python, Software Development, Software Engineering, SQL, Web Services, XML",,"$3,300to$4,900Monthly","ASIA SQUARE TOWER 1, 8 MARINA VIEW 018960",,1 year  exp,java developer responsibilities include designing developing high volume low latency applications mission critical systems delivering high availability performance ensure team develops well designed efficient testable code prepare produce releases software components contribute phases development lifecycle requirements work development team develop test maintain systems ensure high quality time deliverables adhering development principles least 1 year experience applications development open systems ability code advance java hand experience spring boot spring batch spring data hibernate hand experience relational databases preferably mariadb,Executive,JOB-2019-0100138
Data Science & AI,"Data Scientist (Python, Hadoop or Spark) - perm in Investment Banking","Acoustics, Algorithms, Analysis, AutoCAD, Business Development, Engineering, Entrepreneurship, IP, Java, Linux, Management, Matlab, PHP, Product Development, Project Management, Python, Renewable Energy, Signal Processing, Simulations, Telecommunications",,"$5,000to$10,000Monthly","SUNTEC TOWER ONE, 7 TEMASEK BOULEVARD 038987",,3 years  exp,data scientist python hadoop spark perm investment banking exceptional data scientist experience python hadoop spark prior work experience investment banking could career opportunity data scientist python hadoop spark perm investment banking role part dynamic team provides data science capability across investment management corporate services functions end end development advanced data analytics application asset management business operations access variety real world structured unstructured data opportunity apply data science techniques extract insights enhance efficiency reliability performance across front middle back office gain holistic understanding asset management business part transformation data artificial intelligence bring develop data science conceptual thinking business acumen leveraging technology know bring value business work hand hand various facets business across front middle back office extended technology team investment banking well industry peers partners collaborate industry leading data science professionals exposed extraordinary array professional personal growth opportunities intersection international finance technology requirementsin return excellent career opportunity ask following possesses computer science computer engineering background understanding statistics machine learning optimization techniques technical proficiency python technical coding test part interview process hadoop spark sql working proficiency data science experience key machine learning algorithms principles applied live projects experience large scale unstructured data good experiences prior experience handling data various financial data providers prior experience handling projects high security candidates shortlisted go technical coding tests face face interviews speaks ready new challenge please send resume ms word format yeo net even interested still park cv us banking positions forward advertisement counterparts relevant banking experiences looking seek understand personal circumstances needs present credentials clients permission strategize consult application kept strictest confidence ea license number registration id,Professional,JOB-2019-0100496
Cybersecurity,Internal Consultant – Cybersecurity,"CISSP, Computer Forensics, Computer Security, Encryption, Firewalls, Information Security, Information Security Management, Intrusion Detection, Linux, Malware Analysis, Management, Network Administration, Network Forensics, Network Security, Penetration Testing, PKI, Programming, Security, Vulnerability Assessment, Vulnerability Management",,Salary undisclosed,not_available,,5 years  exp,employer employer one fastest growing companies providing software security solutions large enterprises especially banks insurance companies ecommerce companies government agencies offers range products including app secure messaging cloud solutions top tier enterprise clients interested bringing board experienced cybersecurity professional join team position internal consultant cybersecurity job code exp sg location singapore responsibilities reporting cto selected candidate house consultant subject matter expert global threats trends developments solutions cybersecurity space especially related large enterprises online transactions medical health institutions government agencies stay updated latest global trends cybersecurity new developments threats risks solutions work internal teams well external experts develop deeper understanding threats current systems develop holistic knowledge threat risk assessments advise colleagues senior management potential threats clients may face well whether meeting international standards stay updated manual testing techniques automated tools vulnerability scanning work product engineering teams support conducting various vulnerability tests mobile applications web applications networks conduct deep analyses results vulnerability scanning understand trends patterns coordinate internal teams clients present recommendations improve overall cyber security posture requirementsrequirements bachelor degree engineering computer science information security related discipline reputable university 5 8 years experience cyber security areas security testing security review security implementation security threat analysis strong knowledge deep interest global cybersecurity trends developments products solutions enable company stay ahead curve ability independently conduct deep research collect analyse vast amounts information make presentations senior management colleagues engineering product management sales teams strong communication presentation skills application please apply detailed cv preferably including details education training key skills detailed work experience language skills professional referees recent photo current expected salaries contact details resume com sg kindly state position code subject email regret would position respond shortlisted candidates,"Middle Management, Professional, Senior Executive, Executive",JOB-2019-0099756
IT Management,Project Management Trainee,"Cloud Computing, HTML, Integration, Linux, Management, Microsoft Office, Microsoft SQL Server, Networking, Project Management, Software Development, SQL, TCP/IP, Technical Support, Telecommunications, Testing, Troubleshooting, Unix, Virtualization, Windows, Windows Server",,"$2,000to$2,400Monthly","OXLEY BIZHUB, 61 UBI ROAD 1 408727",,2 years  exp,perform remote onsite troubleshooting resolve technical product issues related video conferencing audio visual solutions creation monitoring cases reported customers record maintain stock movements post sales related inventory coordinate arrangements rma related cases plan schedule onsite preventive maintenance sessions contract customers compile maintain records completed pm service reports requirementsminimum diploma holder least 2 years experience fresh graduate welcome apply,Non-executive,JOB-2019-0104621
Mobile Development,Senior iOS Developer,".NET, Agile Methodologies, AJAX, ASP.NET, C#, C++, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, Scrum, Software Development, SQL, Subversion, Web Applications, Web Services, XML",,"$6,500to$8,000Monthly","MARINA SQUARE, 6 RAFFLES BOULEVARD 039594",,4 years  exp,execute development required mobile services products ios platform projects according user stories acceptance criteria assist user stories elaboration build release automation improve software quality test automation bug fixes technical documentation requirementskey technical qualifications degree diploma computer science computer engineering information systems management information technology related disciplines least 4 years experience development mobile applications services products ios platform least 1 year experience working agile environment,"Senior Executive, Executive",JOB-2019-0104745
Data Science & AI,Data Scientist - Signal Processing,"Agile Methodologies, Algorithms, Artificial Intelligence, C, C++, Cloud Computing, Computer Science, Distributed Systems, High Performance Computing, Java, Linux, Machine Learning, MPI, Parallel Computing, Parallel Programming, Programming, Python, Scientific Computing, Software Development, Software Engineering",,"$4,000to$6,000Monthly","VISION EXCHANGE, 2 VENTURE DRIVE 608526",,1 year  exp,candidate uses strong coding skills help development signal processing machine learning algorithms analyse biomedical data derived meaningful insights mine existing biomedical signal healthcare datasets guide algorithm design optimization requirements master biomedical engineering computer science electrical engineering relevant discipline possess 2 years ' proven working experience writing high performance python code especially machine learning projects follows good software development practices like version control using git bitbucket similar tools experience sophisticated like advantageous familiar bio types biomedical healthcare data ability work independently solve complex problems large real world datasets excellent written verbal communication skills good team player,Executive,JOB-2019-0022068
IT Management,Manager,"Analysis, Biotechnology, Business Analysis, Customer Service, EHR, EMR, Healthcare, Healthcare Information Technology, Hospitals, Integration, Lifesciences, Management, Medical Devices, Microsoft Office, Molecular Biology, Process Improvement, Project Management, Software Documentation, Training, Troubleshooting",,"$6,700to$11,390Monthly",6 SERANGOON NORTH AVENUE 5 554910,,7 years  exp,drive use analytics healthcare derive insights population health patient care leverage analytics support policy programme planning work key priorities moh draw talents across healthcare landscape support participate data analytics work health analytics clinical excellence operation efficiency cost effectiveness across clusters responsible lead business intelligence bi team manage vendor development implementation proposed business intelligence applications system establish promote consistent set bi skills standards best practice responsible setup governance structure bi analytical programs projects practices software architecture responsible building plans priorities infrastructure competencies organization needs take forward looking strategic decisions using bi analytical software capabilities work technical project manager understand analyze project requirements implement desired solutions area integration interfaces protocols develop project plans track project deliverables ensure projects completed within budget schedule quality standards define project tasks resource requirements achieve optimal utilization resources manage multiple projects responsible execution initiation completion manage risks affect delivery project outcome present reports project updates stakeholders regular basis implement process improvements reduce development time assist integration complex business factors implement long term strategic planning objectives familiar industry best practices integrate application solutions manage support team integration engineers daily operation issues provide coaching guidance team area application integration requirements bachelor degree computer science computer engineering equivalent minimum 7 10 years experience developing implementing maintaining bi systems experience running large scale application integration projects experience phases bi project lifecycle experience setup managing bi competency centre added advantage experience managing team must possess prior hands experience technologies bi tools informatica sap bods sap bo obiee net ms sql oracle databases messaging technologies jms esb good interpersonal skills ability work different groups stakeholders,Manager,JOB-2019-0104627
Software Development,"Senior Machine Vision Software Engineer [ Kaki Bukit, 3 Years Experiece, Vision Application Develop]","Agile Methodologies, C, C#, C++, CSS, Eclipse, Git, HTML, Java, JavaScript, jQuery, Linux, MySQL, PHP, Python, Software Development, Software Engineering, SQL, Web Services, XML",,"$3,000to$4,500Monthly","AZ @ PAYA LEBAR, 140 PAYA LEBAR ROAD 409015",,3 years  exp,responsibilities develop maintain new existing vision applications key functions include requirement analysis sample evaluation hardware testing image analysis software design coding testing integration documentation customer training requirementsrequirements degree diploma eee software engineering computer science 3 years working experience vision application development hardware selection software implementation experience software programming using c microsoft visual studio experience pc based software design implementation auto machine equipment development added advantage experience microsoft c added advantage,"Senior Executive, Executive, Junior Executive",JOB-2019-0104952
Business Analysis,Senior Business Analyst,"Analysis, Business Analysis, Business Intelligence, Business Process, Business Process Improvement, Business Strategy, Change Management, Data Analysis, Leadership, Management, Management Consulting, Microsoft Office, Process Improvement, Program Management, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SQL, Strategy",,"$4,500to$6,500Monthly",18 SCIENCE PARK DRIVE 118229,,1 year  exp,responsibilities business analyst required interact clients understand confirm compare client requirements solutions prepare proper documentation present completed materials client acceptance key responsibilities responsible development improvement business processes client tracking performance business plans develop refine reporting requirements gather organize analyse information problems business requirements work closely various parties including solution architect developers engineers resolve issues responsible monthly reporting kpis conduct user requirement workshops conduct user training sessions mentor junior bas requirements least 3 years experience business analyst business process flow web portal functionalities advantageous preferably knowledgeable information technology infrastructure effectively managing multiple projects tasks varying complexities able perform well pressure proficient ms office suite application software strong analytical skills hands hardworking keen interest web content management system technology basic web knowledge sql would advantage excellent teamwork attributes must possess least bachelor degree requirements good verbal written communication skills must strong understanding experience software development life cycle self motivated able perform minimum supervision excellent problem solver ability analyse complex requirements provide solutions excellent communication skills ability articulate problems solutions respective levels people interested applicant please send updated resume recent photograph joinus com sg please indicate current expected salary notice period,"Professional, Executive",JOB-2019-0057546
Cybersecurity,Cyber Security Architect (Cloud and Devops),"CISSP, Computer Forensics, Computer Security, Encryption, Firewalls, Information Security, Information Security Management, Intrusion Detection, Linux, Malware Analysis, Management, Network Administration, Network Forensics, Network Security, Penetration Testing, PKI, Programming, Security, Vulnerability Assessment, Vulnerability Management",,"$5,000to$9,000Monthly","MAPLETREE BUSINESS CITY, 10 PASIR PANJANG ROAD 117438",,not_available,cybersecurity consultancy service team cyber security group govtech provides depth technical point view advanced security technologies emerging technologies support better use technologies government smart nation initiatives expect assess design implement document security solutions process leveraging cloud technology design architecture methods controls required meet security compliance audit requirements deploy security automation solutions cloud environment depth knowledge technology container technology security group design implement security monitoring cloud infrastructure application develop procedures automate security tasks code build deployment conduct security threat risk assessment system hosted cloud succeed hands experience designing building deploying securing highly available web application cloud platform aws azure google cloud experience administering troubleshooting optimising relational non relational database proficient programming java node js javascript bash python experience administering configuring hardening operating system windows rhel experience configuration management tools ansible chef puppet automation tools jenkins experience securing container technology including kubernetes knowledge technical security control environments compliance frameworks including csa iso 800 experience devops environments maintaining security ci cd processes experience broad range security technologies including ips iam certificate management good understanding recognised independent audit reports e g reports strong knowledge network application security infrastructure hardening security baseline web application database security degree computer science computer engineering equivalent security specific certification like cissp preferred specialised cloud specific certification like certified cloud associate professional security architect csa star certification preferred available,Senior Management,JOB-2019-0104765
IT Management,Manager,"Business Analysis, Business Intelligence, Change Management, ERP, Integration, IT Management, ITIL, Leadership, Management, Process Improvement, Product Development, Program Management, Project Management, Requirements Analysis, SDLC, SharePoint, Software Development, Software Project Management, SQL, Strategic Planning",,"$5,500to$9,350Monthly",6 SERANGOON NORTH AVENUE 5 554910,,12 years  exp,position summary building strong rapport business users involved conducting requirements analysis system implementation training providing going application support appreciation understanding hospital processes key success role critical resource address system downtime providing 24 7 application support users role responsibilities provide going application support involved various stages sdlc manage vendor selection process calling evaluation tenders conduct user requirement analysis development implementation new systems enhancements existing systems including involvement system integration testing phase evaluate potential solutions change management make recommendations resolve business problems prepare deliver functional specifications perform application configuration unit testing functional testing documentation coordinate user acceptance testing liaise closely business users build good rapport liaise closely vendors teams project implementation engage key users support personnel pre post deployment process accordance project methodologies policies manage team monitoring work progress meet project requirements medium large projects provide 24 7 primary application maintenance support requirementsrequirements diploma degree computer science computer engineering equivalent minimum 10 12 years experience least 3 years experience programming design system analysis good technical knowledge experience enterprise application design architecting software development areas successful track record project management user vendor management project lead small mid scale projects experience least 3 sdlc managed implementation deployment conduct change management projects least 500 000 strong leadership ability work independently analytical skills systematic eye details experience healthcare industry added advantage,Manager,JOB-2019-0104612
Engineering & Technical,Storage Administrator,"Analytical Skills, Business Planning, Coaching, Communication, Communication Skills, Customer Service, Data Analysis, HTML, Inventory Management, Leadership, Management, Marketing, Microsoft Excel, Microsoft Office, Public Relations, Sales, SAP, Team Leadership, Teamwork, Time Management",,"$5,000to$6,300Monthly","THE OCTAGON, 105 CECIL STREET 069534",,5 years  exp,1 storage provisioning san 2 storage monitoring support san infrastructure 3 storage firmware patching activity requirements1 university degree equivalent computing related disciplines minimum 5 years ' relevant working experience data center infrastructure support 2 hands experience managing ibm emc hitachi enterprise storage solutions 3 strong technical skills director edge switches technologies 4 depth knowledge emc data domain symantec netbackup solution 5 proficient knowledge configuration storage layouts storage virtualization concept data replication 6 experience aix linux vmware configurations 7 self starter flexible good team player able work minimum supervision 8 strong developing processes maintaining comprehensive documentation 9 ability articulate possess strong verbal written communications skills,"Professional, Senior Executive",JOB-2019-0105185
Network Engineering,Project Manager Infrastructure,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$7,000to$9,000Monthly","TECHNIQUES CENTRE, 67 UBI CRESCENT 408560",,7 years  exp,key responsibilities participate rfi rfp work project scoping presales size project management effort write project management section proposal manage multiple projects ensuring project scopes schedule resources outcome within project milestone timeline budget manage project resources vendors contractors deliver according scope schedule manage procurement delivery ensure project signoff timely manage project financial prepare project management life cycle documentation conduct project meetings project kick psc ensure project minutes timely conduct project completion identify lessons learn contribute knowledge base update project repository folders regularly closely monitor anticipate escalate project issue early address situation complying pmo governance guidelines requirementsrequirements 5 10 years project management experience mid large scale projects si environment delivered least one complex project minimum sgd 1 5 million team size 10 experience working projects large enterprise networks unified communication security base projects exposure infra projects systems storage e g projects systems storage virtualization backup solutions etc dc relocation migration experience need security clearance government projects academic professional certifications diploma degree information technology pmp citpm certified agile scrum methodology itil foundation v3 certified information systems security professional cissp advantage preferably ccna ccnp mcse certification,"Manager, Professional, Senior Executive",JOB-2019-0098946
